PageRank Results for adaptec1
============================================================
Total components: 211447
Damping factor: 0.85
============================================================

Rank     Component                      PageRank Score 
69       o63657                         0.00012578     
70       o34600                         0.00012542     
71       o63656                         0.00012528     
72       o63661                         0.00012464     
73       o63658                         0.00012389     
74       o63659                         0.00012389     
75       o63662                         0.00012339     
76       o63663                         0.00012307     
77       o108055                        0.00012246     
78       o89458                         0.00011501     
79       o34594                         0.00011244     
80       o33353                         0.00011171     
81       o33355                         0.00011126     
82       o107949                        0.00010898     
83       o107869                        0.00010898     
84       o65547                         0.00010796     
85       o190570                        0.00010779     
86       o162069                        0.00010777     
87       o159478                        0.00010773     
88       o185388                        0.00010773     
89       o195752                        0.00010773     
90       o169842                        0.00010762     
91       o175024                        0.00010757     
92       o177615                        0.00010757     
93       o180206                        0.00010757     
94       o193161                        0.00010757     
95       o156887                        0.00010752     
96       o172433                        0.00010751     
97       o167251                        0.00010751     
98       o187979                        0.00010749     
99       o164660                        0.00010748     
100      o182797                        0.00010748     
101      o33352                         0.00010713     
102      o210927                        0.00010550     
103      o65544                         0.00010467     
104      o65545                         0.00010382     
105      o33354                         0.00010332     
106      o63666                         0.00010308     
107      o63668                         0.00010303     
108      o63664                         0.00010301     
109      o63667                         0.00010296     
110      o63655                         0.00010261     
111      o150299                        0.00010250     
112      o153291                        0.00010250     
113      o63665                         0.00010247     
114      o63669                         0.00010227     
115      o202153                        0.00010209     
116      o63670                         0.00010164     
117      o65543                         0.00009920     
118      o65546                         0.00009782     
119      o66318                         0.00009738     
120      o24092                         0.00009615     
121      o147916                        0.00009607     
122      o131928                        0.00009599     
123      o93468                         0.00009522     
124      o33351                         0.00009513     
125      o211419                        0.00009488     
126      o210926                        0.00009442     
127      o34595                         0.00009382     
128      o66326                         0.00009342     
129      o210928                        0.00009338     
130      o66322                         0.00009306     
131      o65541                         0.00009286     
132      o65540                         0.00009277     
133      o211420                        0.00009259     
134      o66321                         0.00009201     
135      o211417                        0.00009194     
136      o130153                        0.00009128     
137      o211418                        0.00009118     
138      o65542                         0.00009100     
139      o211415                        0.00009068     
140      o211443                        0.00009034     
141      o66320                         0.00009001     
142      o23900                         0.00008983     
143      o211421                        0.00008982     
144      o66328                         0.00008981     
145      o82327                         0.00008969     
146      o65539                         0.00008964     
147      o58791                         0.00008954     
148      o65548                         0.00008917     
149      o211442                        0.00008887     
150      o127898                        0.00008864     
151      o66329                         0.00008839     
152      o66332                         0.00008838     
153      o66324                         0.00008829     
154      o66317                         0.00008827     
155      o66327                         0.00008818     
156      o66323                         0.00008807     
157      o66325                         0.00008798     
158      o146141                        0.00008788     
159      o66330                         0.00008773     
160      o211414                        0.00008755     
161      o211416                        0.00008656     
162      o204506                        0.00008646     
163      o65549                         0.00008642     
164      o153158                        0.00008613     
165      o150166                        0.00008613     
166      o110625                        0.00008546     
167      o114573                        0.00008538     
168      o66319                         0.00008518     
169      o66331                         0.00008451     
170      o130085                        0.00008406     
171      o146073                        0.00008404     
172      o211426                        0.00008368     
173      o94344                         0.00008301     
174      o21123                         0.00008271     
175      o132090                        0.00008232     
176      o148078                        0.00008232     
177      o144119                        0.00008209     
178      o138707                        0.00008178     
179      o99723                         0.00008158     
180      o52762                         0.00008136     
181      o54601                         0.00008136     
182      o34966                         0.00008102     
183      o34969                         0.00008097     
184      o108412                        0.00008091     
185      o107867                        0.00008091     
186      o146178                        0.00008035     
187      o130190                        0.00008028     
188      o23848                         0.00007988     
189      o211424                        0.00007968     
190      o28245                         0.00007929     
191      o16312                         0.00007925     
192      o4651                          0.00007925     
193      o210918                        0.00007876     
194      o35532                         0.00007841     
195      o45490                         0.00007841     
196      o58067                         0.00007803     
197      o58065                         0.00007797     
198      o65538                         0.00007793     
199      o114779                        0.00007772     
200      o110831                        0.00007772     
201      o210910                        0.00007742     
202      o58069                         0.00007709     
203      o54159                         0.00007687     
204      o210916                        0.00007647     
205      o82335                         0.00007617     
206      o99381                         0.00007605     
207      o65537                         0.00007550     
208      o65532                         0.00007530     
209      o52322                         0.00007519     
210      o89457                         0.00007518     
211      o65536                         0.00007486     
212      o72178                         0.00007454     
213      o65534                         0.00007391     
214      o58064                         0.00007367     
215      o58068                         0.00007349     
216      o82599                         0.00007345     
217      o82600                         0.00007345     
218      o58070                         0.00007342     
219      o34963                         0.00007312     
220      o65535                         0.00007305     
221      o65533                         0.00007285     
222      o65531                         0.00007270     
223      o127328                        0.00007172     
224      o210915                        0.00007133     
225      o65518                         0.00007122     
226      o152628                        0.00007036     
227      o149636                        0.00007036     
228      o210917                        0.00007032     
229      o65525                         0.00007030     
230      o112442                        0.00007026     
231      o108496                        0.00007025     
232      o65526                         0.00007024     
233      o34593                         0.00006996     
234      o85361                         0.00006993     
235      o110829                        0.00006985     
236      o114777                        0.00006980     
237      o34591                         0.00006971     
238      o65527                         0.00006935     
239      o52323                         0.00006905     
240      o33359                         0.00006886     
241      o151577                        0.00006872     
242      o154569                        0.00006871     
243      o34960                         0.00006850     
244      o65521                         0.00006833     
245      o58063                         0.00006795     
246      o202159                        0.00006795     
247      o65530                         0.00006774     
248      o211440                        0.00006756     
249      o58066                         0.00006751     
250      o96267                         0.00006737     
251      o34592                         0.00006730     
252      o86647                         0.00006730     
253      o211422                        0.00006729     
254      o74497                         0.00006713     
255      o58542                         0.00006643     
256      o65522                         0.00006641     
257      o157644                        0.00006639     
258      o160235                        0.00006639     
259      o162826                        0.00006639     
260      o165417                        0.00006639     
261      o168008                        0.00006639     
262      o170599                        0.00006639     
263      o173190                        0.00006639     
264      o175781                        0.00006639     
265      o178372                        0.00006639     
266      o180963                        0.00006639     
267      o183554                        0.00006639     
268      o186145                        0.00006639     
269      o188736                        0.00006639     
270      o191327                        0.00006639     
271      o193918                        0.00006639     
272      o196509                        0.00006639     
273      o65524                         0.00006638     
274      o150167                        0.00006621     
275      o211437                        0.00006621     
276      o65523                         0.00006613     
277      o65529                         0.00006607     
278      o153159                        0.00006584     
279      o44524                         0.00006584     
280      o36014                         0.00006577     
281      o24421                         0.00006565     
282      o34957                         0.00006543     
283      o31842                         0.00006531     
284      o108335                        0.00006508     
285      o108337                        0.00006508     
286      o34951                         0.00006484     
287      o34954                         0.00006464     
288      o211434                        0.00006463     
289      o207682                        0.00006459     
290      o1663                          0.00006437     
291      o162010                        0.00006436     
292      o159419                        0.00006435     
293      o185329                        0.00006435     
294      o195693                        0.00006435     
295      o169783                        0.00006434     
296      o193102                        0.00006434     
297      o174965                        0.00006434     
298      o177556                        0.00006434     
299      o180147                        0.00006434     
300      o156828                        0.00006433     
301      o167192                        0.00006433     
302      o172374                        0.00006433     
303      o190511                        0.00006433     
304      o187920                        0.00006433     
305      o182738                        0.00006433     
306      o164601                        0.00006433     
307      o85357                         0.00006420     
308      o82331                         0.00006395     
309      o84197                         0.00006389     
310      o79102                         0.00006388     
311      o25258                         0.00006387     
312      o13378                         0.00006382     
313      o7551                          0.00006382     
314      o164595                        0.00006370     
315      o182732                        0.00006367     
316      o174959                        0.00006364     
317      o185323                        0.00006362     
318      o177550                        0.00006349     
319      o193096                        0.00006349     
320      o190505                        0.00006348     
321      o195687                        0.00006345     
322      o156822                        0.00006342     
323      o172368                        0.00006341     
324      o167186                        0.00006340     
325      o169777                        0.00006339     
326      o159413                        0.00006337     
327      o162004                        0.00006328     
328      o187914                        0.00006325     
329      o33358                         0.00006286     
330      o119429                        0.00006278     
331      o136201                        0.00006271     
332      o82330                         0.00006270     
333      o65520                         0.00006229     
334      o108739                        0.00006228     
335      o98763                         0.00006207     
336      o112685                        0.00006203     
337      o38142                         0.00006140     
338      o46638                         0.00006108     
339      o157652                        0.00006096     
340      o160243                        0.00006096     
341      o162834                        0.00006096     
342      o165425                        0.00006096     
343      o168016                        0.00006096     
344      o170607                        0.00006096     
345      o193926                        0.00006096     
346      o178380                        0.00006096     
347      o180971                        0.00006096     
348      o183562                        0.00006096     
349      o188744                        0.00006096     
350      o173198                        0.00006096     
351      o175789                        0.00006096     
352      o186153                        0.00006096     
353      o191335                        0.00006096     
354      o196517                        0.00006096     
355      o33357                         0.00006088     
356      o143518                        0.00006074     
357      o210930                        0.00006057     
358      o79101                         0.00006046     
359      o84196                         0.00006045     
360      o89455                         0.00006002     
361      o33356                         0.00005974     
362      o65528                         0.00005847     
363      o3046                          0.00005843     
364      o92504                         0.00005841     
365      o26641                         0.00005837     
366      o65519                         0.00005835     
367      o121930                        0.00005832     
368      o9229                          0.00005829     
369      o107966                        0.00005827     
370      o14761                         0.00005802     
371      o1688                          0.00005795     
372      o25283                         0.00005794     
373      o7576                          0.00005794     
374      o13403                         0.00005794     
375      o3393                          0.00005793     
376      o8934                          0.00005790     
377      o53917                         0.00005777     
378      o52082                         0.00005758     
379      o47931                         0.00005726     
380      o104747                        0.00005701     
381      o24502                         0.00005700     
382      o211425                        0.00005699     
383      o26988                         0.00005699     
384      o103086                        0.00005694     
385      o105218                        0.00005681     
386      o114431                        0.00005670     
387      o110483                        0.00005663     
388      o15057                         0.00005657     
389      o24350                         0.00005653     
390      o104742                        0.00005637     
391      o105213                        0.00005636     
392      o13344                         0.00005618     
393      o25224                         0.00005608     
394      o1629                          0.00005607     
395      o82219                         0.00005540     
396      o5740                          0.00005508     
397      o146177                        0.00005508     
398      o130189                        0.00005505     
399      o108333                        0.00005494     
400      o108334                        0.00005494     
401      o34961                         0.00005490     
402      o17402                         0.00005485     
403      o29333                         0.00005477     
404      o11575                         0.00005477     
405      o50489                         0.00005443     
406      o31918                         0.00005442     
407      o108561                        0.00005437     
408      o112507                        0.00005437     
409      o34967                         0.00005420     
410      o82329                         0.00005417     
411      o34968                         0.00005416     
412      o89456                         0.00005390     
413      o34965                         0.00005390     
414      o34964                         0.00005381     
415      o112683                        0.00005380     
416      o108737                        0.00005377     
417      o98944                         0.00005340     
418      o89419                         0.00005325     
419      o210924                        0.00005299     
420      o103084                        0.00005296     
421      o82538                         0.00005290     
422      o82265                         0.00005288     
423      o99207                         0.00005267     
424      o82539                         0.00005253     
425      o48267                         0.00005252     
426      o88888                         0.00005213     
427      o99722                         0.00005203     
428      o180141                        0.00005194     
429      o114773                        0.00005173     
430      o110825                        0.00005164     
431      o151563                        0.00005154     
432      o154555                        0.00005152     
433      o90632                         0.00005129     
434      o72098                         0.00005122     
435      o24847                         0.00005107     
436      o210929                        0.00005095     
437      o128613                        0.00005094     
438      o34959                         0.00005081     
439      o44031                         0.00005075     
440      o29766                         0.00005075     
441      o24419                         0.00005074     
442      o12009                         0.00005074     
443      o17836                         0.00005074     
444      o6174                          0.00005073     
445      o108094                        0.00005042     
446      o144763                        0.00005040     
447      o108090                        0.00005040     
448      o122056                        0.00005032     
449      o138806                        0.00005031     
450      o92871                         0.00005028     
451      o24399                         0.00005023     
452      o209133                        0.00005020     
453      o17259                         0.00004974     
454      o58837                         0.00004972     
455      o66841                         0.00004965     
456      o38664                         0.00004951     
457      o82334                         0.00004946     
458      o34958                         0.00004933     
459      o46455                         0.00004911     
460      o74689                         0.00004906     
461      o72508                         0.00004896     
462      o207237                        0.00004880     
463      o11432                         0.00004873     
464      o208253                        0.00004859     
465      o89454                         0.00004838     
466      o5568                          0.00004824     
467      o44101                         0.00004821     
468      o38427                         0.00004815     
469      o52340                         0.00004815     
470      o108331                        0.00004810     
471      o108330                        0.00004810     
472      o21009                         0.00004810     
473      o136644                        0.00004781     
474      o94780                         0.00004774     
475      o20054                         0.00004774     
476      o34618                         0.00004772     
477      o68841                         0.00004771     
478      o3045                          0.00004769     
479      o135530                        0.00004767     
480      o46461                         0.00004767     
481      o29190                         0.00004764     
482      o10485                         0.00004760     
483      o119875                        0.00004757     
484      o177662                        0.00004753     
485      o193208                        0.00004752     
486      o162116                        0.00004752     
487      o175071                        0.00004752     
488      o159525                        0.00004751     
489      o172480                        0.00004751     
490      o195799                        0.00004751     
491      o5597                          0.00004751     
492      o185435                        0.00004751     
493      o188026                        0.00004750     
494      o182844                        0.00004750     
495      o156934                        0.00004750     
496      o72404                         0.00004749     
497      o180253                        0.00004749     
498      o167298                        0.00004749     
499      o169889                        0.00004749     
500      o190617                        0.00004749     
501      o164707                        0.00004749     
502      o14760                         0.00004748     
503      o118754                        0.00004744     
504      o72412                         0.00004738     
505      o54176                         0.00004736     
506      o46476                         0.00004727     
507      o114446                        0.00004721     
508      o77151                         0.00004716     
509      o5598                          0.00004712     
510      o29161                         0.00004708     
511      o44114                         0.00004705     
512      o67483                         0.00004698     
513      o67488                         0.00004694     
514      o74480                         0.00004693     
515      o29191                         0.00004686     
516      o67495                         0.00004682     
517      o31834                         0.00004673     
518      o144002                        0.00004663     
519      o127808                        0.00004663     
520      o11403                         0.00004654     
521      o17258                         0.00004652     
522      o211423                        0.00004647     
523      o11433                         0.00004643     
524      o92574                         0.00004640     
525      o110498                        0.00004625     
526      o17260                         0.00004624     
527      o46479                         0.00004623     
528      o19162                         0.00004621     
529      o1714                          0.00004607     
530      o7602                          0.00004607     
531      o8933                          0.00004599     
532      o130091                        0.00004586     
533      o146079                        0.00004586     
534      o37670                         0.00004579     
535      o157649                        0.00004578     
536      o160240                        0.00004578     
537      o162831                        0.00004578     
538      o165422                        0.00004578     
539      o168013                        0.00004578     
540      o170604                        0.00004578     
541      o173195                        0.00004578     
542      o175786                        0.00004578     
543      o178377                        0.00004578     
544      o180968                        0.00004578     
545      o183559                        0.00004578     
546      o186150                        0.00004578     
547      o188741                        0.00004578     
548      o191332                        0.00004578     
549      o193923                        0.00004578     
550      o196514                        0.00004578     
551      o38391                         0.00004578     
552      o46877                         0.00004577     
553      o49990                         0.00004575     
554      o157645                        0.00004566     
555      o160236                        0.00004566     
556      o162827                        0.00004566     
557      o165418                        0.00004566     
558      o168009                        0.00004566     
559      o170600                        0.00004566     
560      o173191                        0.00004566     
561      o175782                        0.00004566     
562      o178373                        0.00004566     
563      o180964                        0.00004566     
564      o183555                        0.00004566     
565      o186146                        0.00004566     
566      o188737                        0.00004566     
567      o191328                        0.00004566     
568      o193919                        0.00004566     
569      o196510                        0.00004566     
570      o13429                         0.00004564     
571      o25309                         0.00004564     
572      o72506                         0.00004538     
573      o152972                        0.00004528     
574      o99720                         0.00004527     
575      o202820                        0.00004513     
576      o72408                         0.00004511     
577      o114390                        0.00004511     
578      o149980                        0.00004508     
579      o152627                        0.00004504     
580      o149635                        0.00004503     
581      o98764                         0.00004500     
582      o88705                         0.00004492     
583      o5599                          0.00004492     
584      o26640                         0.00004487     
585      o11434                         0.00004487     
586      o34973                         0.00004481     
587      o72502                         0.00004480     
588      o38376                         0.00004480     
589      o72504                         0.00004480     
590      o46862                         0.00004479     
591      o66842                         0.00004472     
592      o29192                         0.00004467     
593      o17261                         0.00004465     
594      o85922                         0.00004461     
595      o85921                         0.00004461     
596      o174954                        0.00004460     
597      o66844                         0.00004459     
598      o66843                         0.00004459     
599      o66847                         0.00004459     
600      o66848                         0.00004459     
601      o66846                         0.00004458     
602      o66845                         0.00004458     
603      o66301                         0.00004454     
604      o67497                         0.00004450     
605      o195682                        0.00004443     
606      o67493                         0.00004441     
607      o66307                         0.00004439     
608      o204296                        0.00004438     
609      o128611                        0.00004438     
610      o190500                        0.00004435     
611      o93767                         0.00004434     
612      o72383                         0.00004433     
613      o185318                        0.00004426     
614      o72410                         0.00004425     
615      o110442                        0.00004425     
616      o67478                         0.00004424     
617      o37950                         0.00004418     
618      o89620                         0.00004418     
619      o99931                         0.00004417     
620      o193091                        0.00004412     
621      o17230                         0.00004410     
622      o180136                        0.00004410     
623      o37991                         0.00004408     
624      o164590                        0.00004407     
625      o177545                        0.00004407     
626      o161999                        0.00004405     
627      o37672                         0.00004404     
628      o167181                        0.00004400     
629      o112684                        0.00004396     
630      o169772                        0.00004395     
631      o108738                        0.00004394     
632      o172363                        0.00004392     
633      o182727                        0.00004392     
634      o159408                        0.00004392     
635      o202821                        0.00004389     
636      o148127                        0.00004387     
637      o108735                        0.00004387     
638      o156817                        0.00004387     
639      o67487                         0.00004383     
640      o50473                         0.00004381     
641      o156890                        0.00004381     
642      o159481                        0.00004381     
643      o162072                        0.00004381     
644      o164663                        0.00004381     
645      o167254                        0.00004381     
646      o169845                        0.00004381     
647      o172436                        0.00004381     
648      o175027                        0.00004381     
649      o177618                        0.00004381     
650      o180209                        0.00004381     
651      o182800                        0.00004381     
652      o185391                        0.00004381     
653      o187982                        0.00004381     
654      o190573                        0.00004381     
655      o193164                        0.00004381     
656      o195755                        0.00004381     
657      o187909                        0.00004368     
658      o132140                        0.00004364     
659      o150090                        0.00004360     
660      o153082                        0.00004359     
661      o84198                         0.00004353     
662      o79103                         0.00004353     
663      o208769                        0.00004351     
664      o207391                        0.00004351     
665      o112681                        0.00004348     
666      o119827                        0.00004345     
667      o66292                         0.00004339     
668      o99051                         0.00004338     
669      o136598                        0.00004336     
670      o68840                         0.00004333     
671      o5703                          0.00004326     
672      o11538                         0.00004315     
673      o17365                         0.00004314     
674      o29296                         0.00004314     
675      o97412                         0.00004314     
676      o87993                         0.00004314     
677      o144449                        0.00004303     
678      o108063                        0.00004293     
679      o108068                        0.00004292     
680      o108070                        0.00004292     
681      o99721                         0.00004289     
682      o88704                         0.00004288     
683      o205182                        0.00004284     
684      o119430                        0.00004275     
685      o66295                         0.00004273     
686      o136202                        0.00004268     
687      o156824                        0.00004263     
688      o159415                        0.00004263     
689      o162006                        0.00004263     
690      o164597                        0.00004263     
691      o167188                        0.00004263     
692      o169779                        0.00004263     
693      o172370                        0.00004263     
694      o174961                        0.00004263     
695      o177552                        0.00004263     
696      o180143                        0.00004263     
697      o182734                        0.00004263     
698      o185325                        0.00004263     
699      o187916                        0.00004263     
700      o190507                        0.00004263     
701      o193098                        0.00004263     
702      o195689                        0.00004263     
703      o156823                        0.00004263     
704      o159414                        0.00004263     
705      o162005                        0.00004263     
706      o164596                        0.00004263     
707      o167187                        0.00004263     
708      o169778                        0.00004263     
709      o172369                        0.00004263     
710      o174960                        0.00004263     
711      o177551                        0.00004263     
712      o180142                        0.00004263     
713      o182733                        0.00004263     
714      o185324                        0.00004263     
715      o187915                        0.00004263     
716      o190506                        0.00004263     
717      o193097                        0.00004263     
718      o195688                        0.00004263     
719      o108099                        0.00004260     
720      o108095                        0.00004256     
721      o5596                          0.00004256     
722      o207793                        0.00004249     
723      o209149                        0.00004248     
724      o157650                        0.00004245     
725      o160241                        0.00004245     
726      o162832                        0.00004245     
727      o165423                        0.00004245     
728      o168014                        0.00004245     
729      o170605                        0.00004245     
730      o173196                        0.00004245     
731      o175787                        0.00004245     
732      o178378                        0.00004245     
733      o180969                        0.00004245     
734      o183560                        0.00004245     
735      o186151                        0.00004245     
736      o188742                        0.00004245     
737      o191333                        0.00004245     
738      o193924                        0.00004245     
739      o196515                        0.00004245     
740      o37956                         0.00004238     
741      o114776                        0.00004237     
742      o110828                        0.00004232     
743      o74688                         0.00004224     
744      o29189                         0.00004211     
745      o4200                          0.00004196     
746      o34590                         0.00004194     
747      o11431                         0.00004188     
748      o15861                         0.00004186     
749      o152626                        0.00004184     
750      o149634                        0.00004184     
751      o10035                         0.00004184     
752      o27794                         0.00004183     
753      o66298                         0.00004179     
754      o131889                        0.00004169     
755      o47901                         0.00004168     
756      o208255                        0.00004162     
757      o35758                         0.00004155     
758      o143327                        0.00004152     
759      o149977                        0.00004143     
760      o152969                        0.00004143     
761      o79877                         0.00004135     
762      o38163                         0.00004133     
763      o7517                          0.00004126     
764      o204602                        0.00004116     
765      o37994                         0.00004112     
766      o37249                         0.00004109     
767      o37248                         0.00004109     
768      o204307                        0.00004106     
769      o64856                         0.00004086     
770      o72469                         0.00004077     
771      o64972                         0.00004073     
772      o167189                        0.00004065     
773      o48091                         0.00004064     
774      o147877                        0.00004059     
775      o164598                        0.00004059     
776      o79115                         0.00004059     
777      o159416                        0.00004058     
778      o34589                         0.00004057     
779      o5577                          0.00004056     
780      o79113                         0.00004056     
781      o84209                         0.00004056     
782      o162007                        0.00004051     
783      o84208                         0.00004050     
784      o84210                         0.00004049     
785      o185326                        0.00004046     
786      o174962                        0.00004046     
787      o79114                         0.00004043     
788      o193099                        0.00004043     
789      o195690                        0.00004041     
790      o182735                        0.00004033     
791      o190508                        0.00004032     
792      o177553                        0.00004030     
793      o156825                        0.00004028     
794      o34971                         0.00004027     
795      o187917                        0.00004027     
796      o169780                        0.00004027     
797      o82293                         0.00004025     
798      o66304                         0.00004024     
799      o172371                        0.00004024     
800      o64912                         0.00004023     
801      o33583                         0.00004021     
802      o180144                        0.00004020     
