PageRank Results for MACROS in bigblue1
======================================================================
Total macros: 560
Area threshold: 1000
Damping factor: 0.85
======================================================================

Rank     Macro                          PageRank        Width      Height     Area        
44       o277805                        0.00188237      432.0      72.0       31104.0     
45       o277927                        0.00188237      72.0       432.0      31104.0     
46       o277747                        0.00188237      72.0       432.0      31104.0     
47       o277751                        0.00188237      72.0       432.0      31104.0     
48       o277761                        0.00188237      72.0       432.0      31104.0     
49       o277849                        0.00188237      72.0       432.0      31104.0     
50       o277932                        0.00188237      72.0       432.0      31104.0     
51       o277755                        0.00188237      432.0      72.0       31104.0     
52       o277878                        0.00188237      432.0      72.0       31104.0     
53       o278045                        0.00188237      432.0      72.0       31104.0     
54       o277928                        0.00188237      72.0       432.0      31104.0     
55       o278118                        0.00188237      432.0      72.0       31104.0     
56       o278103                        0.00188237      432.0      72.0       31104.0     
57       o278000                        0.00188237      72.0       432.0      31104.0     
58       o277842                        0.00188237      72.0       432.0      31104.0     
59       o277831                        0.00188237      72.0       432.0      31104.0     
60       o277729                        0.00188237      72.0       432.0      31104.0     
61       o277954                        0.00188237      72.0       432.0      31104.0     
62       o278079                        0.00188237      432.0      72.0       31104.0     
63       o277945                        0.00188237      72.0       432.0      31104.0     
64       o278115                        0.00188237      432.0      72.0       31104.0     
65       o278076                        0.00188237      432.0      72.0       31104.0     
66       o277738                        0.00188237      432.0      72.0       31104.0     
67       o278085                        0.00188237      432.0      72.0       31104.0     
68       o277733                        0.00188237      432.0      72.0       31104.0     
69       o277775                        0.00188237      72.0       432.0      31104.0     
70       o278068                        0.00188237      432.0      72.0       31104.0     
71       o278102                        0.00188237      432.0      72.0       31104.0     
72       o277936                        0.00188237      72.0       432.0      31104.0     
73       o277833                        0.00188237      72.0       432.0      31104.0     
74       o278122                        0.00188237      432.0      72.0       31104.0     
75       o277867                        0.00188237      432.0      72.0       31104.0     
76       o278075                        0.00188237      432.0      72.0       31104.0     
77       o277893                        0.00188237      72.0       432.0      31104.0     
78       o277968                        0.00188237      432.0      72.0       31104.0     
79       o277750                        0.00188237      432.0      72.0       31104.0     
80       o277743                        0.00188237      72.0       432.0      31104.0     
81       o277944                        0.00188237      72.0       432.0      31104.0     
82       o277969                        0.00188237      72.0       432.0      31104.0     
83       o278074                        0.00188237      432.0      72.0       31104.0     
84       o277792                        0.00188237      432.0      72.0       31104.0     
85       o278023                        0.00188237      72.0       432.0      31104.0     
86       o277689                        0.00188237      72.0       432.0      31104.0     
87       o278061                        0.00188237      432.0      72.0       31104.0     
88       o277754                        0.00188237      72.0       432.0      31104.0     
89       o278109                        0.00188237      432.0      72.0       31104.0     
90       o277971                        0.00188237      432.0      72.0       31104.0     
91       o278127                        0.00188237      432.0      72.0       31104.0     
92       o278081                        0.00188237      432.0      72.0       31104.0     
93       o277855                        0.00188237      72.0       432.0      31104.0     
94       o277823                        0.00188237      72.0       432.0      31104.0     
95       o277973                        0.00188237      432.0      72.0       31104.0     
96       o277832                        0.00188237      432.0      72.0       31104.0     
97       o277760                        0.00188237      72.0       432.0      31104.0     
98       o277943                        0.00188237      72.0       432.0      31104.0     
99       o277856                        0.00188237      432.0      72.0       31104.0     
100      o277709                        0.00188237      72.0       432.0      31104.0     
101      o277933                        0.00188237      72.0       432.0      31104.0     
102      o277896                        0.00188237      72.0       432.0      31104.0     
103      o277950                        0.00188237      72.0       432.0      31104.0     
104      o278047                        0.00188237      432.0      72.0       31104.0     
105      o278036                        0.00188237      432.0      72.0       31104.0     
106      o277724                        0.00188237      72.0       432.0      31104.0     
107      o277764                        0.00188237      72.0       432.0      31104.0     
108      o277611                        0.00188237      432.0      72.0       31104.0     
109      o277839                        0.00188237      432.0      72.0       31104.0     
110      o277858                        0.00188237      432.0      72.0       31104.0     
111      o277872                        0.00188237      432.0      72.0       31104.0     
112      o277974                        0.00188237      72.0       432.0      31104.0     
113      o277869                        0.00188237      432.0      72.0       31104.0     
114      o277768                        0.00188237      72.0       432.0      31104.0     
115      o277892                        0.00188237      72.0       432.0      31104.0     
116      o277941                        0.00188237      72.0       432.0      31104.0     
117      o278072                        0.00188237      432.0      72.0       31104.0     
118      o278099                        0.00188237      432.0      72.0       31104.0     
119      o277745                        0.00188237      72.0       432.0      31104.0     
120      o277702                        0.00188237      72.0       432.0      31104.0     
121      o277848                        0.00188237      432.0      72.0       31104.0     
122      o278067                        0.00188237      432.0      72.0       31104.0     
123      o277999                        0.00188237      72.0       432.0      31104.0     
124      o277679                        0.00188237      72.0       432.0      31104.0     
125      o277960                        0.00188237      432.0      72.0       31104.0     
126      o278001                        0.00188237      72.0       432.0      31104.0     
127      o277997                        0.00188237      432.0      72.0       31104.0     
128      o278051                        0.00188237      432.0      72.0       31104.0     
129      o277934                        0.00188237      72.0       432.0      31104.0     
130      o277972                        0.00188237      432.0      72.0       31104.0     
131      o277851                        0.00188237      432.0      72.0       31104.0     
132      o277809                        0.00188237      432.0      72.0       31104.0     
133      o278059                        0.00188237      432.0      72.0       31104.0     
134      o278082                        0.00188237      432.0      72.0       31104.0     
135      o277886                        0.00188237      432.0      72.0       31104.0     
136      o277786                        0.00188237      432.0      72.0       31104.0     
137      o277778                        0.00188237      72.0       432.0      31104.0     
138      o278073                        0.00188237      432.0      72.0       31104.0     
139      o277812                        0.00188237      432.0      72.0       31104.0     
140      o277942                        0.00188237      72.0       432.0      31104.0     
141      o277804                        0.00188237      432.0      72.0       31104.0     
142      o277693                        0.00188237      72.0       432.0      31104.0     
143      o277970                        0.00188237      72.0       432.0      31104.0     
144      o278022                        0.00188237      72.0       432.0      31104.0     
145      o277860                        0.00188237      432.0      72.0       31104.0     
146      o277798                        0.00188237      432.0      72.0       31104.0     
147      o277818                        0.00188237      432.0      72.0       31104.0     
148      o277731                        0.00188237      72.0       432.0      31104.0     
149      o277821                        0.00188237      72.0       432.0      31104.0     
150      o277780                        0.00188237      432.0      72.0       31104.0     
151      o277931                        0.00188237      72.0       432.0      31104.0     
152      o277918                        0.00188237      72.0       432.0      31104.0     
153      o277962                        0.00188237      432.0      72.0       31104.0     
154      o277769                        0.00188237      72.0       432.0      31104.0     
155      o278029                        0.00188237      72.0       432.0      31104.0     
156      o277853                        0.00188237      72.0       432.0      31104.0     
157      o277756                        0.00188237      72.0       432.0      31104.0     
158      o278035                        0.00188237      432.0      72.0       31104.0     
159      o278101                        0.00188237      432.0      72.0       31104.0     
160      o277825                        0.00188237      72.0       432.0      31104.0     
161      o277612                        0.00188237      72.0       432.0      31104.0     
162      o277797                        0.00188237      432.0      72.0       31104.0     
163      o277762                        0.00188237      72.0       432.0      31104.0     
164      o277793                        0.00188237      432.0      72.0       31104.0     
165      o277696                        0.00188237      72.0       432.0      31104.0     
166      o278007                        0.00188237      72.0       432.0      31104.0     
167      o278084                        0.00188237      432.0      72.0       31104.0     
168      o278041                        0.00188237      432.0      72.0       31104.0     
169      o277734                        0.00188237      432.0      72.0       31104.0     
170      o278111                        0.00188237      432.0      72.0       31104.0     
171      o278123                        0.00188237      432.0      72.0       31104.0     
172      o278070                        0.00188237      432.0      72.0       31104.0     
173      o278064                        0.00188237      432.0      72.0       31104.0     
174      o277949                        0.00188237      72.0       432.0      31104.0     
175      o278054                        0.00188237      432.0      72.0       31104.0     
176      o278083                        0.00188237      432.0      72.0       31104.0     
177      o277673                        0.00188237      72.0       432.0      31104.0     
178      o277840                        0.00188237      72.0       432.0      31104.0     
179      o278086                        0.00188237      432.0      72.0       31104.0     
180      o277988                        0.00188237      432.0      72.0       31104.0     
181      o277783                        0.00188237      432.0      72.0       31104.0     
182      o277854                        0.00188237      72.0       432.0      31104.0     
183      o278121                        0.00188237      432.0      72.0       31104.0     
184      o277726                        0.00188237      72.0       432.0      31104.0     
185      o277788                        0.00188237      432.0      72.0       31104.0     
186      o277759                        0.00188237      72.0       432.0      31104.0     
187      o278010                        0.00188237      72.0       432.0      31104.0     
188      o277694                        0.00188237      72.0       432.0      31104.0     
189      o277865                        0.00188237      432.0      72.0       31104.0     
190      o278096                        0.00188237      432.0      72.0       31104.0     
191      o278100                        0.00188237      432.0      72.0       31104.0     
192      o277794                        0.00188237      432.0      72.0       31104.0     
193      o277714                        0.00188237      72.0       432.0      31104.0     
194      o278028                        0.00188237      72.0       432.0      31104.0     
195      o277752                        0.00188237      72.0       432.0      31104.0     
196      o277685                        0.00188237      72.0       432.0      31104.0     
197      o277841                        0.00188237      432.0      72.0       31104.0     
198      o277672                        0.00188237      72.0       432.0      31104.0     
199      o277847                        0.00188237      72.0       432.0      31104.0     
200      o277690                        0.00188237      72.0       432.0      31104.0     
201      o277757                        0.00188237      72.0       432.0      31104.0     
202      o277862                        0.00188237      432.0      72.0       31104.0     
203      o277782                        0.00188237      432.0      72.0       31104.0     
204      o277746                        0.00188237      72.0       432.0      31104.0     
205      o278040                        0.00188237      432.0      72.0       31104.0     
206      o278037                        0.00188237      432.0      72.0       31104.0     
207      o277744                        0.00188237      72.0       432.0      31104.0     
208      o277722                        0.00188237      72.0       432.0      31104.0     
209      o277981                        0.00188237      72.0       432.0      31104.0     
210      o278002                        0.00188237      72.0       432.0      31104.0     
211      o277803                        0.00188237      432.0      72.0       31104.0     
212      o277967                        0.00188237      72.0       432.0      31104.0     
213      o277781                        0.00188237      432.0      72.0       31104.0     
214      o277937                        0.00188237      72.0       432.0      31104.0     
215      o277835                        0.00188237      72.0       432.0      31104.0     
216      o278042                        0.00188237      432.0      72.0       31104.0     
217      o277939                        0.00188237      72.0       432.0      31104.0     
218      o277799                        0.00188237      432.0      72.0       31104.0     
219      o277808                        0.00188237      432.0      72.0       31104.0     
220      o277669                        0.00188237      72.0       432.0      31104.0     
221      o277838                        0.00188237      72.0       432.0      31104.0     
222      o278114                        0.00188237      432.0      72.0       31104.0     
223      o277749                        0.00188237      432.0      72.0       31104.0     
224      o277898                        0.00188237      72.0       432.0      31104.0     
225      o277938                        0.00188237      72.0       432.0      31104.0     
226      o277697                        0.00188237      72.0       432.0      31104.0     
227      o277784                        0.00188237      432.0      72.0       31104.0     
228      o278048                        0.00188237      432.0      72.0       31104.0     
229      o277610                        0.00188237      432.0      72.0       31104.0     
230      o277861                        0.00188237      432.0      72.0       31104.0     
231      o277773                        0.00188237      72.0       432.0      31104.0     
232      o277820                        0.00188237      432.0      72.0       31104.0     
233      o277905                        0.00188237      72.0       432.0      31104.0     
234      o277827                        0.00188237      72.0       432.0      31104.0     
235      o277843                        0.00188237      432.0      72.0       31104.0     
236      o277982                        0.00188237      72.0       432.0      31104.0     
237      o277811                        0.00188237      432.0      72.0       31104.0     
238      o277930                        0.00188237      72.0       432.0      31104.0     
239      o278095                        0.00188237      432.0      72.0       31104.0     
240      o277698                        0.00188237      72.0       432.0      31104.0     
241      o277963                        0.00188237      432.0      72.0       31104.0     
242      o277748                        0.00188237      432.0      72.0       31104.0     
243      o277889                        0.00188237      432.0      72.0       31104.0     
244      o277837                        0.00188237      72.0       432.0      31104.0     
245      o278136                        0.00180352      80.0       1020.0     81600.0     
246      o278141                        0.00178075      276.0      1968.0     543168.0    
247      o277955                        0.00177844      432.0      72.0       31104.0     
248      o277952                        0.00177844      432.0      72.0       31104.0     
249      o277785                        0.00177844      432.0      72.0       31104.0     
250      o278088                        0.00177844      432.0      72.0       31104.0     
251      o277796                        0.00177844      432.0      72.0       31104.0     
252      o278071                        0.00177844      432.0      72.0       31104.0     
253      o277676                        0.00177844      72.0       432.0      31104.0     
254      o277682                        0.00177844      72.0       432.0      31104.0     
255      o278066                        0.00177844      432.0      72.0       31104.0     
256      o277717                        0.00177844      72.0       432.0      31104.0     
257      o277787                        0.00177844      432.0      72.0       31104.0     
258      o277789                        0.00177844      432.0      72.0       31104.0     
259      o277935                        0.00177844      72.0       432.0      31104.0     
260      o277873                        0.00177844      432.0      72.0       31104.0     
261      o277681                        0.00177844      72.0       432.0      31104.0     
262      o277801                        0.00177844      432.0      72.0       31104.0     
263      o277695                        0.00177844      72.0       432.0      31104.0     
264      o277813                        0.00177844      432.0      72.0       31104.0     
265      o277691                        0.00177844      72.0       432.0      31104.0     
266      o277900                        0.00177844      72.0       432.0      31104.0     
267      o277984                        0.00177844      72.0       432.0      31104.0     
268      o277822                        0.00177844      432.0      72.0       31104.0     
269      o277713                        0.00177844      72.0       432.0      31104.0     
270      o277859                        0.00177844      432.0      72.0       31104.0     
271      o278058                        0.00177844      432.0      72.0       31104.0     
272      o277802                        0.00177844      432.0      72.0       31104.0     
273      o277671                        0.00177844      72.0       432.0      31104.0     
274      o277711                        0.00177844      72.0       432.0      31104.0     
275      o278062                        0.00177844      432.0      72.0       31104.0     
276      o277777                        0.00177844      72.0       432.0      31104.0     
277      o277951                        0.00177844      72.0       432.0      31104.0     
278      o277692                        0.00177844      72.0       432.0      31104.0     
279      o277766                        0.00177844      72.0       432.0      31104.0     
280      o277790                        0.00177844      432.0      72.0       31104.0     
281      o277920                        0.00177844      72.0       432.0      31104.0     
282      o277975                        0.00177844      432.0      72.0       31104.0     
283      o277828                        0.00177844      432.0      72.0       31104.0     
284      o277957                        0.00177844      432.0      72.0       31104.0     
285      o277826                        0.00177844      432.0      72.0       31104.0     
286      o278038                        0.00177844      432.0      72.0       31104.0     
287      o277701                        0.00177844      72.0       432.0      31104.0     
288      o278049                        0.00177844      432.0      72.0       31104.0     
289      o277834                        0.00177844      432.0      72.0       31104.0     
290      o277684                        0.00177844      72.0       432.0      31104.0     
291      o277830                        0.00177844      432.0      72.0       31104.0     
292      o278039                        0.00177844      432.0      72.0       31104.0     
293      o277795                        0.00177844      432.0      72.0       31104.0     
294      o277703                        0.00177844      72.0       432.0      31104.0     
295      o278097                        0.00177844      432.0      72.0       31104.0     
296      o277977                        0.00177844      72.0       432.0      31104.0     
297      o277718                        0.00177844      72.0       432.0      31104.0     
298      o277771                        0.00177844      72.0       432.0      31104.0     
299      o277899                        0.00177844      72.0       432.0      31104.0     
300      o277911                        0.00177844      72.0       432.0      31104.0     
301      o277678                        0.00177844      72.0       432.0      31104.0     
302      o277924                        0.00177844      72.0       432.0      31104.0     
303      o277891                        0.00177844      72.0       432.0      31104.0     
304      o278055                        0.00177844      432.0      72.0       31104.0     
305      o278056                        0.00177844      432.0      72.0       31104.0     
306      o277824                        0.00177844      432.0      72.0       31104.0     
307      o277829                        0.00177844      72.0       432.0      31104.0     
308      o277884                        0.00177844      432.0      72.0       31104.0     
309      o278065                        0.00177844      432.0      72.0       31104.0     
310      o277687                        0.00177844      72.0       432.0      31104.0     
311      o278053                        0.00177844      432.0      72.0       31104.0     
312      o278057                        0.00177844      432.0      72.0       31104.0     
313      o277868                        0.00177844      432.0      72.0       31104.0     
314      o278015                        0.00177844      432.0      72.0       31104.0     
315      o277958                        0.00177844      432.0      72.0       31104.0     
316      o278016                        0.00177844      432.0      72.0       31104.0     
317      o277723                        0.00177844      72.0       432.0      31104.0     
318      o277883                        0.00177844      432.0      72.0       31104.0     
319      o277908                        0.00177844      72.0       432.0      31104.0     
320      o277772                        0.00177844      72.0       432.0      31104.0     
321      o278050                        0.00177844      432.0      72.0       31104.0     
322      o277907                        0.00177844      72.0       432.0      31104.0     
323      o278113                        0.00177844      432.0      72.0       31104.0     
324      o277706                        0.00177844      72.0       432.0      31104.0     
325      o277929                        0.00177844      72.0       432.0      31104.0     
326      o277946                        0.00177844      72.0       432.0      31104.0     
327      o277846                        0.00177844      432.0      72.0       31104.0     
328      o277979                        0.00177844      72.0       432.0      31104.0     
329      o277915                        0.00177844      72.0       432.0      31104.0     
330      o277719                        0.00177844      72.0       432.0      31104.0     
331      o277819                        0.00177844      432.0      72.0       31104.0     
332      o278129                        0.00177844      432.0      72.0       31104.0     
333      o277791                        0.00177844      432.0      72.0       31104.0     
334      o277870                        0.00177844      432.0      72.0       31104.0     
335      o277806                        0.00177844      432.0      72.0       31104.0     
336      o277876                        0.00177844      432.0      72.0       31104.0     
337      o277686                        0.00177844      72.0       432.0      31104.0     
338      o277705                        0.00177844      72.0       432.0      31104.0     
339      o277894                        0.00177844      72.0       432.0      31104.0     
340      o278112                        0.00177844      432.0      72.0       31104.0     
341      o277921                        0.00177844      72.0       432.0      31104.0     
342      o277670                        0.00177844      72.0       432.0      31104.0     
343      o277712                        0.00177844      72.0       432.0      31104.0     
344      o277677                        0.00177844      72.0       432.0      31104.0     
345      o277875                        0.00177844      432.0      72.0       31104.0     
346      o277770                        0.00177844      72.0       432.0      31104.0     
347      o277914                        0.00177844      72.0       432.0      31104.0     
348      o277916                        0.00177844      72.0       432.0      31104.0     
349      o277704                        0.00177844      72.0       432.0      31104.0     
350      o278080                        0.00177844      432.0      72.0       31104.0     
351      o277708                        0.00177844      72.0       432.0      31104.0     
352      o277923                        0.00177844      72.0       432.0      31104.0     
353      o278060                        0.00177844      432.0      72.0       31104.0     
354      o277817                        0.00177844      72.0       432.0      31104.0     
355      o277774                        0.00177844      72.0       432.0      31104.0     
356      o277879                        0.00177844      432.0      72.0       31104.0     
357      o278098                        0.00177844      432.0      72.0       31104.0     
358      o277882                        0.00177844      432.0      72.0       31104.0     
359      o278052                        0.00177844      432.0      72.0       31104.0     
360      o278130                        0.00177844      432.0      72.0       31104.0     
361      o277707                        0.00177844      72.0       432.0      31104.0     
362      o277902                        0.00177844      72.0       432.0      31104.0     
363      o277699                        0.00177844      72.0       432.0      31104.0     
364      o278105                        0.00177844      432.0      72.0       31104.0     
365      o277608                        0.00177844      72.0       432.0      31104.0     
366      o277850                        0.00177844      432.0      72.0       31104.0     
367      o277901                        0.00177844      72.0       432.0      31104.0     
368      o277674                        0.00177844      72.0       432.0      31104.0     
369      o277913                        0.00177844      72.0       432.0      31104.0     
370      o277919                        0.00177844      72.0       432.0      31104.0     
371      o277897                        0.00177844      72.0       432.0      31104.0     
372      o277917                        0.00177844      72.0       432.0      31104.0     
373      o277800                        0.00177844      432.0      72.0       31104.0     
374      o277910                        0.00177844      72.0       432.0      31104.0     
375      o278014                        0.00177844      432.0      72.0       31104.0     
376      o277895                        0.00177844      72.0       432.0      31104.0     
377      o278027                        0.00177844      72.0       432.0      31104.0     
378      o277912                        0.00177844      72.0       432.0      31104.0     
379      o278046                        0.00177844      432.0      72.0       31104.0     
380      o278108                        0.00177844      432.0      72.0       31104.0     
381      o277904                        0.00177844      72.0       432.0      31104.0     
382      o277922                        0.00177844      72.0       432.0      31104.0     
383      o277715                        0.00177844      72.0       432.0      31104.0     
384      o277852                        0.00177844      432.0      72.0       31104.0     
385      o277767                        0.00177844      72.0       432.0      31104.0     
386      o278063                        0.00177844      432.0      72.0       31104.0     
387      o277903                        0.00177844      72.0       432.0      31104.0     
388      o277675                        0.00177844      72.0       432.0      31104.0     
389      o277680                        0.00177844      72.0       432.0      31104.0     
390      o278106                        0.00177844      432.0      72.0       31104.0     
391      o278137                        0.00172644      164.0      1020.0     167280.0    
392      o278134                        0.00172644      399.0      1800.0     718200.0    
393      o278155                        0.00167484      276.0      1968.0     543168.0    
394      o278149                        0.00166292      276.0      1968.0     543168.0    
395      o278153                        0.00166292      276.0      1968.0     543168.0    
396      o278159                        0.00154134      108.0      1020.0     110160.0    
397      o278158                        0.00154134      108.0      1020.0     110160.0    
398      o278160                        0.00154134      108.0      1020.0     110160.0    
399      o278156                        0.00154134      108.0      1020.0     110160.0    
400      o277636                        0.00147148      432.0      72.0       31104.0     
401      o277635                        0.00147148      432.0      72.0       31104.0     
402      o277637                        0.00147148      72.0       432.0      31104.0     
403      o277634                        0.00147148      72.0       432.0      31104.0     
404      o277633                        0.00147148      72.0       432.0      31104.0     
405      o277663                        0.00146907      432.0      72.0       31104.0     
406      o277657                        0.00146907      432.0      72.0       31104.0     
407      o277665                        0.00146907      72.0       432.0      31104.0     
408      o277659                        0.00146907      432.0      72.0       31104.0     
409      o277667                        0.00146907      72.0       432.0      31104.0     
410      o277661                        0.00146907      432.0      72.0       31104.0     
411      o278094                        0.00146667      432.0      72.0       31104.0     
412      o278131                        0.00146667      432.0      72.0       31104.0     
413      o277966                        0.00146667      72.0       432.0      31104.0     
414      o277993                        0.00146667      72.0       432.0      31104.0     
415      o278004                        0.00146667      72.0       432.0      31104.0     
416      o278034                        0.00146667      432.0      72.0       31104.0     
417      o278043                        0.00146667      72.0       432.0      31104.0     
418      o278021                        0.00146667      72.0       432.0      31104.0     
419      o277683                        0.00146667      72.0       432.0      31104.0     
420      o277965                        0.00146667      72.0       432.0      31104.0     
421      o277810                        0.00146667      432.0      72.0       31104.0     
422      o277742                        0.00146667      432.0      72.0       31104.0     
423      o277807                        0.00146667      432.0      72.0       31104.0     
424      o277716                        0.00146667      72.0       432.0      31104.0     
425      o277964                        0.00146667      432.0      72.0       31104.0     
426      o277779                        0.00146667      72.0       432.0      31104.0     
427      o277814                        0.00146667      432.0      72.0       31104.0     
428      o277845                        0.00146667      432.0      72.0       31104.0     
429      o277656                        0.00146667      72.0       432.0      31104.0     
430      o278008                        0.00146667      72.0       432.0      31104.0     
431      o277649                        0.00146667      72.0       432.0      31104.0     
432      o278110                        0.00146667      432.0      72.0       31104.0     
433      o277629                        0.00146667      72.0       432.0      31104.0     
434      o278020                        0.00146667      432.0      72.0       31104.0     
435      o278107                        0.00146667      432.0      72.0       31104.0     
436      o277976                        0.00146667      432.0      72.0       31104.0     
437      o278044                        0.00146667      432.0      72.0       31104.0     
438      o278128                        0.00146667      432.0      72.0       31104.0     
439      o277735                        0.00146667      432.0      72.0       31104.0     
440      o277890                        0.00146667      432.0      72.0       31104.0     
441      o277624                        0.00146667      72.0       432.0      31104.0     
442      o277639                        0.00146667      432.0      72.0       31104.0     
443      o277887                        0.00146667      432.0      72.0       31104.0     
444      o278005                        0.00146667      72.0       432.0      31104.0     
445      o278009                        0.00146667      72.0       432.0      31104.0     
446      o278019                        0.00146667      432.0      72.0       31104.0     
447      o277627                        0.00146667      72.0       432.0      31104.0     
448      o277763                        0.00146667      72.0       432.0      31104.0     
449      o277753                        0.00146667      432.0      72.0       31104.0     
450      o277700                        0.00146667      72.0       432.0      31104.0     
451      o278033                        0.00146667      432.0      72.0       31104.0     
452      o278032                        0.00146667      72.0       432.0      31104.0     
453      o277987                        0.00146667      432.0      72.0       31104.0     
454      o277874                        0.00146667      432.0      72.0       31104.0     
455      o278006                        0.00146667      72.0       432.0      31104.0     
456      o278104                        0.00146667      432.0      72.0       31104.0     
457      o277653                        0.00146667      72.0       432.0      31104.0     
458      o277880                        0.00146667      432.0      72.0       31104.0     
459      o278093                        0.00146667      432.0      72.0       31104.0     
460      o277662                        0.00146667      432.0      72.0       31104.0     
461      o277644                        0.00146667      432.0      72.0       31104.0     
462      o278069                        0.00146667      432.0      72.0       31104.0     
463      o277885                        0.00146667      432.0      72.0       31104.0     
464      o277956                        0.00146667      72.0       432.0      31104.0     
465      o278077                        0.00146667      432.0      72.0       31104.0     
466      o277961                        0.00146667      72.0       432.0      31104.0     
467      o277640                        0.00146667      432.0      72.0       31104.0     
468      o278031                        0.00146667      72.0       432.0      31104.0     
469      o278017                        0.00146667      432.0      72.0       31104.0     
470      o277881                        0.00146667      432.0      72.0       31104.0     
471      o277643                        0.00146667      432.0      72.0       31104.0     
472      o277980                        0.00146667      72.0       432.0      31104.0     
473      o277646                        0.00146667      432.0      72.0       31104.0     
474      o277940                        0.00146667      72.0       432.0      31104.0     
475      o277727                        0.00146667      72.0       432.0      31104.0     
476      o277925                        0.00146667      72.0       432.0      31104.0     
477      o277844                        0.00146667      72.0       432.0      31104.0     
478      o277985                        0.00146667      72.0       432.0      31104.0     
479      o277668                        0.00146667      72.0       432.0      31104.0     
480      o277632                        0.00146667      72.0       432.0      31104.0     
481      o277720                        0.00146667      72.0       432.0      31104.0     
482      o277877                        0.00146667      432.0      72.0       31104.0     
483      o277758                        0.00146667      72.0       432.0      31104.0     
484      o277648                        0.00146667      72.0       432.0      31104.0     
485      o278125                        0.00146667      432.0      72.0       31104.0     
486      o277741                        0.00146667      432.0      72.0       31104.0     
487      o277991                        0.00146667      432.0      72.0       31104.0     
488      o277765                        0.00146667      72.0       432.0      31104.0     
489      o278003                        0.00146667      72.0       432.0      31104.0     
490      o278018                        0.00146667      432.0      72.0       31104.0     
491      o277815                        0.00146667      432.0      72.0       31104.0     
492      o277978                        0.00146667      72.0       432.0      31104.0     
493      o277995                        0.00146667      72.0       432.0      31104.0     
494      o277816                        0.00146667      432.0      72.0       31104.0     
495      o277631                        0.00146667      432.0      72.0       31104.0     
496      o278090                        0.00146667      432.0      72.0       31104.0     
497      o278126                        0.00146667      432.0      72.0       31104.0     
498      o277947                        0.00146667      72.0       432.0      31104.0     
499      o278012                        0.00146667      432.0      72.0       31104.0     
500      o277650                        0.00146667      72.0       432.0      31104.0     
501      o277992                        0.00146667      432.0      72.0       31104.0     
502      o277626                        0.00146667      432.0      72.0       31104.0     
503      o278120                        0.00146667      432.0      72.0       31104.0     
504      o277776                        0.00146667      72.0       432.0      31104.0     
505      o278091                        0.00146667      432.0      72.0       31104.0     
506      o277990                        0.00146667      72.0       432.0      31104.0     
507      o277623                        0.00146667      72.0       432.0      31104.0     
508      o277857                        0.00146667      72.0       432.0      31104.0     
509      o277628                        0.00146667      72.0       432.0      31104.0     
510      o278024                        0.00146667      72.0       432.0      31104.0     
