PageRank Results for bigblue1
============================================================
Total components: 278164
Damping factor: 0.85
============================================================

Rank     Component                      PageRank Score 
85       o217697                        0.00009031     
86       o242497                        0.00009029     
87       o242505                        0.00009024     
88       o108617                        0.00009012     
89       o217689                        0.00009007     
90       o236278                        0.00009003     
91       o230096                        0.00009000     
92       o217705                        0.00008998     
93       o217713                        0.00008998     
94       o230104                        0.00008995     
95       o242521                        0.00008991     
96       o236302                        0.00008980     
97       o223901                        0.00008979     
98       o223917                        0.00008976     
99       o223925                        0.00008976     
100      o223909                        0.00008974     
101      o230080                        0.00008973     
102      o230120                        0.00008973     
103      o236318                        0.00008965     
104      o230112                        0.00008962     
105      o103981                        0.00008953     
106      o236310                        0.00008947     
107      o113252                        0.00008946     
108      o223885                        0.00008941     
109      o242481                        0.00008939     
110      o242513                        0.00008939     
111      o81781                         0.00008754     
112      o88203                         0.00008754     
113      o94782                         0.00008754     
114      o57881                         0.00008685     
115      o84929                         0.00008612     
116      o207669                        0.00008510     
117      o207671                        0.00008510     
118      o91492                         0.00008447     
119      o242473                        0.00008414     
120      o104362                        0.00008412     
121      o118296                        0.00008399     
122      o108995                        0.00008396     
123      o223933                        0.00008384     
124      o189571                        0.00008358     
125      o165234                        0.00008346     
126      o165235                        0.00008346     
127      o197695                        0.00008336     
128      o242529                        0.00008335     
129      o217665                        0.00008306     
130      o230072                        0.00008298     
131      o230128                        0.00008298     
132      o197694                        0.00008285     
133      o223877                        0.00008275     
134      o236270                        0.00008272     
135      o236326                        0.00008272     
136      o173389                        0.00008268     
137      o173390                        0.00008268     
138      o181507                        0.00008268     
139      o181508                        0.00008268     
140      o189572                        0.00008268     
141      o53508                         0.00008260     
142      o217721                        0.00008259     
143      o278136                        0.00008249     
144      o113632                        0.00008229     
145      o99718                         0.00008202     
146      o278137                        0.00008148     
147      o53516                         0.00007960     
148      o108997                        0.00007616     
149      o34929                         0.00007534     
150      o53385                         0.00007370     
151      o278158                        0.00007272     
152      o108246                        0.00007093     
153      o98967                         0.00007091     
154      o180653                        0.00007068     
155      o91524                         0.00007067     
156      o117546                        0.00007064     
157      o172529                        0.00007055     
158      o206545                        0.00007053     
159      o206547                        0.00007053     
160      o164382                        0.00007008     
161      o188705                        0.00007007     
162      o180648                        0.00006971     
163      o188700                        0.00006965     
164      o164377                        0.00006964     
165      o172524                        0.00006964     
166      o112866                        0.00006956     
167      o98951                         0.00006944     
168      o84961                         0.00006937     
169      o57913                         0.00006931     
170      o196829                        0.00006930     
171      o103610                        0.00006917     
172      o117530                        0.00006901     
173      o112882                        0.00006897     
174      o218124                        0.00006897     
175      o196824                        0.00006884     
176      o108230                        0.00006876     
177      o103594                        0.00006860     
178      o264713                        0.00006810     
179      o164505                        0.00006692     
180      o164507                        0.00006692     
181      o172652                        0.00006692     
182      o172654                        0.00006692     
183      o180770                        0.00006692     
184      o180772                        0.00006692     
185      o188828                        0.00006692     
186      o188830                        0.00006692     
187      o196952                        0.00006692     
188      o196954                        0.00006692     
189      o73988                         0.00006655     
190      o77627                         0.00006655     
191      o88235                         0.00006655     
192      o81813                         0.00006651     
193      o104363                        0.00006635     
194      o230527                        0.00006621     
195      o224336                        0.00006618     
196      o278156                        0.00006614     
197      o236729                        0.00006610     
198      o278157                        0.00006601     
199      o113633                        0.00006595     
200      o278159                        0.00006588     
201      o55679                         0.00006565     
202      o118298                        0.00006543     
203      o58307                         0.00006504     
204      o85354                         0.00006504     
205      o91933                         0.00006504     
206      o95211                         0.00006504     
207      o72219                         0.00006478     
208      o75773                         0.00006478     
209      o79568                         0.00006478     
210      o278160                        0.00006458     
211      o225813                        0.00006413     
212      o117537                        0.00006400     
213      o99305                         0.00006397     
214      o103947                        0.00006379     
215      o113219                        0.00006373     
216      o117882                        0.00006366     
217      o219605                        0.00006334     
218      o219600                        0.00006334     
219      o108584                        0.00006328     
220      o225838                        0.00006297     
221      o238206                        0.00006263     
222      o244400                        0.00006248     
223      o98958                         0.00006237     
224      o108453                        0.00006233     
225      o244365                        0.00006232     
226      o232004                        0.00006231     
227      o117881                        0.00006231     
228      o225828                        0.00006230     
229      o244375                        0.00006221     
230      o219590                        0.00006219     
231      o232029                        0.00006218     
232      o113218                        0.00006208     
233      o219615                        0.00006205     
234      o48905                         0.00006205     
235      o48904                         0.00006205     
236      o48903                         0.00006204     
237      o231994                        0.00006201     
238      o103815                        0.00006195     
239      o48902                         0.00006191     
240      o219580                        0.00006189     
241      o238231                        0.00006188     
242      o99304                         0.00006188     
243      o103601                        0.00006188     
244      o238221                        0.00006181     
245      o238226                        0.00006181     
246      o244380                        0.00006181     
247      o244395                        0.00006181     
248      o225803                        0.00006179     
249      o238196                        0.00006169     
250      o113089                        0.00006167     
251      o238216                        0.00006164     
252      o58382                         0.00006164     
253      o244370                        0.00006162     
254      o117751                        0.00006160     
255      o108583                        0.00006159     
256      o92009                         0.00006157     
257      o103946                        0.00006155     
258      o219610                        0.00006150     
259      o219595                        0.00006150     
260      o231999                        0.00006150     
261      o232019                        0.00006150     
262      o232024                        0.00006150     
263      o232009                        0.00006150     
264      o232014                        0.00006150     
265      o244385                        0.00006139     
266      o244390                        0.00006139     
267      o225833                        0.00006139     
268      o112873                        0.00006136     
269      o225818                        0.00006133     
270      o225823                        0.00006133     
271      o225808                        0.00006128     
272      o238211                        0.00006121     
273      o238201                        0.00006118     
274      o6844                          0.00006116     
275      o219585                        0.00006115     
276      o108237                        0.00006097     
277      o99720                         0.00006015     
278      o116657                        0.00005985     
279      o98078                         0.00005980     
280      o112001                        0.00005979     
281      o85434                         0.00005979     
282      o82278                         0.00005978     
283      o88716                         0.00005978     
284      o102721                        0.00005944     
285      o107352                        0.00005932     
286      o116656                        0.00005852     
287      o88635                         0.00005841     
288      o278135                        0.00005841     
289      o224803                        0.00005840     
290      o237196                        0.00005838     
291      o98077                         0.00005835     
292      o218541                        0.00005833     
293      o224762                        0.00005829     
294      o237155                        0.00005828     
295      o230953                        0.00005825     
296      o112000                        0.00005823     
297      o107351                        0.00005820     
298      o102720                        0.00005818     
299      o230994                        0.00005818     
300      o243335                        0.00005811     
301      o243375                        0.00005811     
302      o218501                        0.00005791     
303      o237114                        0.00005790     
304      o224721                        0.00005790     
305      o117894                        0.00005783     
306      o230912                        0.00005769     
307      o243294                        0.00005764     
308      o218203                        0.00005755     
309      o218192                        0.00005754     
310      o53506                         0.00005751     
311      o236784                        0.00005744     
312      o256095                        0.00005743     
313      o99334                         0.00005739     
314      o236814                        0.00005739     
315      o236808                        0.00005738     
316      o236824                        0.00005738     
317      o236797                        0.00005738     
318      o236819                        0.00005738     
319      o224431                        0.00005735     
320      o224415                        0.00005735     
321      o224421                        0.00005735     
322      o230595                        0.00005735     
323      o224426                        0.00005735     
324      o230617                        0.00005735     
325      o230606                        0.00005735     
326      o230612                        0.00005735     
327      o230622                        0.00005735     
328      o224404                        0.00005734     
329      o218209                        0.00005734     
330      o218219                        0.00005733     
331      o218214                        0.00005733     
332      o243004                        0.00005733     
333      o243000                        0.00005733     
334      o243008                        0.00005733     
335      o242991                        0.00005733     
336      o243011                        0.00005732     
337      o218197                        0.00005721     
338      o118295                        0.00005720     
339      o236802                        0.00005705     
340      o230600                        0.00005701     
341      o224409                        0.00005701     
342      o242995                        0.00005699     
343      o244869                        0.00005658     
344      o255771                        0.00005621     
345      o255547                        0.00005616     
346      o98947                         0.00005608     
347      o256046                        0.00005600     
348      o47564                         0.00005574     
349      o47570                         0.00005574     
350      o47567                         0.00005574     
351      o47561                         0.00005574     
352      o6843                          0.00005565     
353      o230582                        0.00005514     
354      o224391                        0.00005494     
355      o34552                         0.00005461     
356      o218179                        0.00005458     
357      o226378                        0.00005456     
358      o112862                        0.00005442     
359      o104361                        0.00005417     
360      o244938                        0.00005417     
361      o117526                        0.00005402     
362      o226555                        0.00005359     
363      o238956                        0.00005349     
364      o99719                         0.00005343     
365      o108996                        0.00005342     
366      o118297                        0.00005342     
367      o220085                        0.00005340     
368      o232746                        0.00005329     
369      o245566                        0.00005326     
370      o220155                        0.00005316     
371      o238771                        0.00005312     
372      o232499                        0.00005311     
373      o232569                        0.00005311     
374      o238701                        0.00005301     
375      o256052                        0.00005297     
376      o256086                        0.00005297     
377      o227000                        0.00005293     
378      o233193                        0.00005293     
379      o239402                        0.00005293     
380      o226308                        0.00005235     
381      o244896                        0.00005209     
382      o245610                        0.00005205     
383      o103590                        0.00005184     
384      o227043                        0.00005175     
385      o233237                        0.00005175     
386      o239445                        0.00005175     
387      o226305                        0.00005174     
388      o108226                        0.00005159     
389      o238728                        0.00005159     
390      o227195                        0.00005157     
391      o238708                        0.00005156     
392      o226315                        0.00005155     
393      o244876                        0.00005154     
394      o238698                        0.00005152     
395      o220092                        0.00005151     
396      o244866                        0.00005151     
397      o244886                        0.00005151     
398      o108596                        0.00005149     
399      o226325                        0.00005147     
400      o226335                        0.00005147     
401      o238718                        0.00005143     
402      o116640                        0.00005139     
403      o245546                        0.00005138     
404      o220102                        0.00005136     
405      o111984                        0.00005136     
406      o226375                        0.00005136     
407      o232506                        0.00005135     
408      o220082                        0.00005129     
409      o220112                        0.00005129     
410      o232496                        0.00005117     
411      o232516                        0.00005117     
412      o232526                        0.00005117     
413      o226365                        0.00005116     
414      o238768                        0.00005116     
415      o220355                        0.00005116     
416      o238758                        0.00005109     
417      o98061                         0.00005106     
418      o244926                        0.00005103     
419      o244935                        0.00005103     
420      o238748                        0.00005096     
421      o220799                        0.00005093     
422      o220142                        0.00005093     
423      o220152                        0.00005093     
424      o233387                        0.00005091     
425      o232556                        0.00005088     
426      o226355                        0.00005086     
427      o214787                        0.00005086     
428      o232566                        0.00005083     
429      o214802                        0.00005080     
430      o55957                         0.00005079     
431      o220997                        0.00005078     
432      o233402                        0.00005076     
433      o221011                        0.00005076     
434      o244916                        0.00005073     
435      o74252                         0.00005073     
436      o220996                        0.00005071     
437      o227209                        0.00005071     
438      o99174                         0.00005066     
439      o99317                         0.00005066     
440      o107335                        0.00005063     
441      o102705                        0.00005063     
442      o233388                        0.00005063     
443      o226988                        0.00005061     
444      o233181                        0.00005061     
445      o239390                        0.00005061     
446      o220132                        0.00005061     
447      o221013                        0.00005058     
448      o233404                        0.00005057     
449      o232546                        0.00005051     
450      o245554                        0.00005041     
451      o233406                        0.00005041     
452      o226994                        0.00005040     
453      o239396                        0.00005040     
454      o245560                        0.00005040     
455      o233390                        0.00005040     
456      o221015                        0.00005032     
457      o220999                        0.00005030     
458      o227192                        0.00005025     
459      o220779                        0.00005025     
460      o226980                        0.00005025     
461      o233173                        0.00005025     
462      o239382                        0.00005025     
463      o77922                         0.00005023     
464      o221007                        0.00005018     
465      o214798                        0.00005017     
466      o72489                         0.00005010     
467      o76038                         0.00005010     
468      o221009                        0.00005008     
469      o238738                        0.00005003     
470      o226345                        0.00004997     
471      o244906                        0.00004995     
472      o233396                        0.00004989     
473      o214796                        0.00004988     
474      o214794                        0.00004977     
475      o227205                        0.00004973     
476      o233394                        0.00004971     
477      o113630                        0.00004968     
478      o220122                        0.00004967     
479      o232001                        0.00004966     
480      o232006                        0.00004966     
481      o108993                        0.00004960     
482      o233400                        0.00004959     
483      o231991                        0.00004959     
484      o232021                        0.00004959     
485      o232536                        0.00004955     
486      o232011                        0.00004954     
487      o244392                        0.00004935     
488      o238198                        0.00004928     
489      o238203                        0.00004928     
490      o238208                        0.00004928     
491      o238223                        0.00004928     
492      o85253                         0.00004927     
493      o221005                        0.00004926     
494      o219582                        0.00004916     
495      o219587                        0.00004916     
496      o239604                        0.00004915     
497      o232026                        0.00004912     
498      o91832                         0.00004911     
499      o238193                        0.00004911     
500      o220843                        0.00004911     
501      o231996                        0.00004907     
502      o233187                        0.00004904     
503      o225800                        0.00004904     
504      o225805                        0.00004904     
505      o225810                        0.00004904     
506      o225815                        0.00004904     
507      o225830                        0.00004904     
508      o227201                        0.00004902     
509      o244362                        0.00004902     
510      o244367                        0.00004902     
511      o244372                        0.00004902     
512      o244377                        0.00004902     
513      o238213                        0.00004901     
514      o238218                        0.00004901     
515      o238228                        0.00004901     
516      o219577                        0.00004901     
517      o219592                        0.00004901     
518      o219607                        0.00004901     
519      o221003                        0.00004900     
520      o232016                        0.00004895     
521      o225820                        0.00004892     
522      o225825                        0.00004892     
523      o225835                        0.00004892     
524      o219597                        0.00004891     
525      o219602                        0.00004891     
526      o219612                        0.00004891     
527      o244382                        0.00004890     
528      o244387                        0.00004890     
529      o244397                        0.00004890     
530      o58205                         0.00004886     
531      o233398                        0.00004879     
532      o236830                        0.00004877     
533      o239610                        0.00004873     
534      o218225                        0.00004873     
535      o224437                        0.00004872     
536      o230628                        0.00004870     
537      o227199                        0.00004869     
538      o243015                        0.00004869     
539      o227203                        0.00004863     
540      o82107                         0.00004862     
541      o88533                         0.00004862     
542      o95111                         0.00004862     
543      o104359                        0.00004858     
544      o99716                         0.00004846     
545      o227207                        0.00004845     
546      o214800                        0.00004844     
547      o214790                        0.00004839     
548      o118293                        0.00004803     
549      o218187                        0.00004783     
550      o236792                        0.00004781     
551      o52964                         0.00004780     
552      o230590                        0.00004774     
553      o224399                        0.00004774     
554      o242988                        0.00004772     
555      o220793                        0.00004768     
556      o103975                        0.00004713     
557      o112150                        0.00004709     
558      o220787                        0.00004690     
559      o208876                        0.00004682     
560      o102872                        0.00004678     
561      o34899                         0.00004677     
562      o34896                         0.00004677     
563      o34885                         0.00004677     
564      o34893                         0.00004676     
565      o82205                         0.00004659     
566      o107503                        0.00004656     
567      o34882                         0.00004648     
568      o117735                        0.00004637     
569      o17084                         0.00004627     
570      o74257                         0.00004624     
571      o77927                         0.00004624     
572      o99158                         0.00004603     
573      o98229                         0.00004583     
574      o116804                        0.00004564     
575      o84764                         0.00004563     
576      o208877                        0.00004554     
577      o239598                        0.00004540     
578      o276251                        0.00004538     
579      o244929                        0.00004506     
580      o264871                        0.00004506     
581      o55962                         0.00004499     
582      o29004                         0.00004498     
583      o53399                         0.00004488     
584      o98970                         0.00004482     
585      o103612                        0.00004482     
586      o108249                        0.00004482     
587      o112885                        0.00004482     
588      o117549                        0.00004482     
589      o116762                        0.00004471     
590      o238711                        0.00004466     
591      o102830                        0.00004464     
592      o72494                         0.00004458     
593      o76043                         0.00004458     
594      o238761                        0.00004451     
595      o107461                        0.00004450     
596      o98187                         0.00004448     
597      o112107                        0.00004444     
598      o29307                         0.00004412     
599      o94092                         0.00004410     
600      o227193                        0.00004405     
601      o99313                         0.00004401     
602      o90772                         0.00004379     
603      o55645                         0.00004377     
604      o84238                         0.00004376     
605      o117539                        0.00004372     
606      o123530                        0.00004372     
607      o123532                        0.00004367     
608      o123534                        0.00004367     
609      o123550                        0.00004362     
610      o123554                        0.00004362     
611      o74256                         0.00004357     
612      o238731                        0.00004356     
613      o123552                        0.00004351     
614      o123556                        0.00004351     
615      o123558                        0.00004351     
616      o104810                        0.00004348     
617      o77926                         0.00004346     
618      o55961                         0.00004346     
619      o96731                         0.00004346     
620      o82204                         0.00004346     
621      o239612                        0.00004345     
622      o113228                        0.00004341     
623      o38171                         0.00004341     
624      o137069                        0.00004340     
625      o137071                        0.00004340     
626      o137093                        0.00004339     
627      o137095                        0.00004339     
628      o130313                        0.00004339     
629      o99314                         0.00004335     
630      o150588                        0.00004334     
631      o226358                        0.00004334     
632      o130315                        0.00004333     
633      o130317                        0.00004333     
634      o150612                        0.00004333     
635      o143832                        0.00004332     
636      o130335                        0.00004332     
637      o130339                        0.00004332     
638      o130341                        0.00004332     
639      o143852                        0.00004331     
640      o143856                        0.00004331     
641      o150590                        0.00004331     
642      o137091                        0.00004330     
643      o143830                        0.00004329     
644      o150608                        0.00004329     
645      o150614                        0.00004329     
646      o150610                        0.00004328     
647      o150606                        0.00004328     
648      o143850                        0.00004328     
649      o143854                        0.00004328     
650      o157328                        0.00004328     
651      o157330                        0.00004328     
652      o150586                        0.00004327     
653      o130333                        0.00004327     
654      o130337                        0.00004327     
655      o143848                        0.00004327     
656      o137089                        0.00004327     
657      o137087                        0.00004326     
658      o143828                        0.00004326     
659      o157348                        0.00004326     
660      o157352                        0.00004326     
661      o157354                        0.00004326     
662      o106005                        0.00004326     
663      o157346                        0.00004326     
664      o157350                        0.00004326     
665      o98960                         0.00004326     
666      o137067                        0.00004325     
667      o117891                        0.00004325     
668      o157326                        0.00004325     
669      o103956                        0.00004325     
670      o236688                        0.00004324     
671      o238751                        0.00004323     
672      o77662                         0.00004323     
673      o218083                        0.00004322     
674      o242888                        0.00004317     
675      o224295                        0.00004317     
676      o103800                        0.00004316     
677      o220087                        0.00004315     
678      o220157                        0.00004315     
679      o226310                        0.00004315     
680      o226380                        0.00004315     
681      o232501                        0.00004315     
682      o232571                        0.00004315     
683      o238703                        0.00004315     
684      o238773                        0.00004315     
685      o244871                        0.00004315     
686      o244940                        0.00004315     
687      o108593                        0.00004315     
688      o110656                        0.00004314     
689      o118741                        0.00004308     
690      o230486                        0.00004306     
691      o143834                        0.00004296     
692      o115306                        0.00004295     
693      o244879                        0.00004292     
694      o244919                        0.00004292     
695      o57183                         0.00004288     
696      o114076                        0.00004288     
697      o79869                         0.00004286     
698      o87511                         0.00004285     
699      o157334                        0.00004285     
700      o117732                        0.00004281     
701      o244899                        0.00004281     
702      o244909                        0.00004281     
703      o81127                         0.00004281     
704      o102871                        0.00004276     
705      o238741                        0.00004276     
706      o123538                        0.00004268     
707      o239602                        0.00004260     
708      o208875                        0.00004259     
709      o218132                        0.00004259     
710      o230535                        0.00004257     
711      o242935                        0.00004256     
712      o236737                        0.00004254     
713      o123536                        0.00004252     
714      o123544                        0.00004252     
715      o38173                         0.00004250     
716      o224344                        0.00004250     
717      o220095                        0.00004250     
718      o220115                        0.00004250     
719      o95210                         0.00004242     
720      o123542                        0.00004240     
721      o113231                        0.00004239     
722      o242840                        0.00004237     
723      o236640                        0.00004234     
724      o218035                        0.00004234     
725      o130321                        0.00004231     
726      o123540                        0.00004229     
727      o123546                        0.00004229     
728      o123548                        0.00004229     
729      o230438                        0.00004229     
730      o72493                         0.00004225     
731      o76042                         0.00004225     
732      o115427                        0.00004224     
733      o224247                        0.00004218     
734      o143842                        0.00004218     
735      o232509                        0.00004217     
736      o232529                        0.00004217     
737      o232539                        0.00004217     
738      o232549                        0.00004217     
739      o232559                        0.00004217     
740      o137081                        0.00004217     
741      o137083                        0.00004215     
742      o137085                        0.00004215     
743      o150600                        0.00004215     
744      o150594                        0.00004214     
745      o130327                        0.00004214     
746      o143836                        0.00004213     
747      o137075                        0.00004212     
748      o157340                        0.00004212     
749      o245123                        0.00004212     
750      o150592                        0.00004210     
751      o112875                        0.00004210     
752      o150602                        0.00004210     
753      o130323                        0.00004208     
754      o130329                        0.00004208     
755      o130331                        0.00004208     
756      o143840                        0.00004208     
757      o143846                        0.00004207     
758      o137079                        0.00004207     
759      o130319                        0.00004206     
760      o112149                        0.00004206     
761      o150596                        0.00004206     
762      o150604                        0.00004206     
763      o137073                        0.00004205     
764      o150598                        0.00004205     
765      o143838                        0.00004205     
766      o143844                        0.00004205     
767      o157332                        0.00004204     
768      o130325                        0.00004204     
769      o137077                        0.00004204     
770      o157336                        0.00004203     
771      o157342                        0.00004203     
772      o157344                        0.00004203     
773      o157338                        0.00004202     
774      o110775                        0.00004201     
775      o101493                        0.00004197     
776      o53711                         0.00004195     
777      o107502                        0.00004193     
778      o106124                        0.00004190     
779      o98228                         0.00004190     
780      o88634                         0.00004189     
781      o116803                        0.00004189     
782      o264759                        0.00004189     
783      o38158                         0.00004186     
784      o103603                        0.00004185     
785      o264872                        0.00004184     
786      o226318                        0.00004181     
787      o208874                        0.00004180     
788      o208873                        0.00004180     
789      o114081                        0.00004180     
790      o220145                        0.00004179     
791      o220125                        0.00004173     
792      o220135                        0.00004173     
793      o109445                        0.00004172     
794      o72255                         0.00004172     
795      o100168                        0.00004169     
796      o96851                         0.00004169     
797      o38025                         0.00004168     
798      o118746                        0.00004167     
799      o75808                         0.00004166     
800      o226338                        0.00004165     
801      o226348                        0.00004165     
802      o226368                        0.00004158     
